Id,Title,Time,Type,Duration,Img,CoverBg,movieDesc,Released,Genre,Casts,Country,Production,IMDB_rating
54,The Thicket,2024,Movie,108m,https://img.moviesjoy.is/resize/188x288/96/1d/961d39ef748e9b3ecee29d704347ab7d/961d39ef748e9b3ecee29d704347ab7d.jpg,https://img.moviesjoy.is/resize/1288x788/bc/8b/bc8b6e1cf85b0eb066006eb29400428b/bc8b6e1cf85b0eb066006eb29400428b.jpg,"An innocent young man, Jack, goes on an epic quest to rescue his sister Lula after she has been kidnapped by the violent killer Cut Throat Bill and her gang. To save her, Jack enlists the help of a crafty bounty hunter named Reginald Jones, a grave-digging alcoholic son of an ex-slave, and a street-smart prostitute. The gang tracks Cut Throat Bill into the deadly no-man’s land known as The Big Thicket — a place where blood and chaos reign.",2024-09-05,"['crime', 'thriller', 'western']","['guy-sprung', 'david-midthunder', 'arliss-howard', 'juliette-lewis', 'andrew-schulz']",ca,"['tubi', 'estuary-films', 'nomadic-pictures', 'hollywood-gang-productions', 'milu-entertainment', 'the-exchange', 'tubi-tv']",6.2
55,Beetlejuice Beetlejuice,2024,Movie,105m,https://img.moviesjoy.is/resize/188x288/1b/aa/1baa3051d8229dcfec6d01ec66998bfb/1baa3051d8229dcfec6d01ec66998bfb.jpg,https://img.moviesjoy.is/resize/1288x788/57/5f/575fe9c815256550431160e23e55b759/575fe9c815256550431160e23e55b759.jpg,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",2024-09-04,"['comedy', 'horror', 'fantasy']","['philip-philmar', 'nick-kellington', 'winona-ryder', 'monica-bellucci', 'danny-devito']",us,"['warner-bros-pictures', 'geffen-pictures', 'plan-b-entertainment', 'tim-burton-productions', 'domain-entertainment', 'tommy-harper-productions']",N/A
56,Apple Music Live: Camila Cabello,2024,Movie,48m,https://img.moviesjoy.is/resize/188x288/af/a8/afa8ecf2c3978487f422a2703af07061/afa8ecf2c3978487f422a2703af07061.jpg,https://img.moviesjoy.is/resize/1288x788/70/35/7035b8cec54ed9a26c091f0e54e6107a/7035b8cec54ed9a26c091f0e54e6107a.jpg,"Pop star Camila Cabello performs songs from her new album, C,XOXO, and some of her biggest hits at Rock in Rio Lisboa.",2024-09-04,['music'],['camila-cabello'],us,[],5.5
57,"Phil Wang: Wang in There, Baby!",2024,Movie,61m,https://img.moviesjoy.is/resize/188x288/fb/b7/fbb7f8aee4064309314d4bea5a669e71/fbb7f8aee4064309314d4bea5a669e71.jpg,https://img.moviesjoy.is/resize/1288x788/a4/04/a404bd12cc5507a992a91bd83d3b9b10/a404bd12cc5507a992a91bd83d3b9b10.jpg,Phil Wang performing in Wang in there baby!,2024-09-03,['comedy'],['phil-wang'],gb,[],5.2
58,Chestnut vs. Kobayashi: Unfinished Beef,2024,Movie,71m,https://img.moviesjoy.is/resize/188x288/1b/26/1b264c81f4bd0434b1cd429a356e85c4/1b264c81f4bd0434b1cd429a356e85c4.jpg,https://img.moviesjoy.is/resize/1288x788/0e/b8/0eb8bccd4f3da520c2e64a877fc5c284/0eb8bccd4f3da520c2e64a877fc5c284.jpg,"16-time hot dog– eating champion Joey Chestnut faces off against rival and six-time hot dog–eating champion Takeru Kobayashi, settling a 15-year rivalry between the two competitive eaters: Will Chestnut maintain his title as the world's greatest, or will Kobayashi come in with a vengeance and regain his throne?",2024-09-02,['documentary'],"['chris-rose', 'cari-champion', 'nikki-bella', 'rob-riggle', 'takeru-kobayashi']",us,[],5.2
59,Untold: Hope Solo vs. U.S. Soccer,2024,Movie,73m,https://img.moviesjoy.is/resize/188x288/77/13/77133d3253df2debbb8fa28db5a18b34/77133d3253df2debbb8fa28db5a18b34.jpg,https://img.moviesjoy.is/resize/1288x788/d9/ec/d9ec8d26a7873d6f29bd58a45c9dc71f/d9ec8d26a7873d6f29bd58a45c9dc71f.jpg,World Cup champion Hope Solo opens up about her turbulent rise to the top of women's soccer amid public scandals and tension with former teammates.,2024-09-02,['documentary'],['hope-solo'],us,"['uninterrupted', 'makemake', 'propagate-content', 'makemake-entertainment']",7
60,Head Over Heels,2024,Movie,84m,https://img.moviesjoy.is/resize/188x288/cb/39/cb3944e155e11a496187aaf4895da2a7/cb3944e155e11a496187aaf4895da2a7.jpg,https://img.moviesjoy.is/resize/1288x788/ed/77/ed775505bd788b7f02680bcfe35600db/ed775505bd788b7f02680bcfe35600db.jpg,"A suburban girl at heart, Addison, is off to prove herself in the world of high-end fashion footwear when she lands a life-changing internship at an Upper East Side studio leading up to the star-studded New York Fashion Week. Addison is determined to hold onto her integrity and her family values while struggling to balance it all and forge a path to success and romance, although she may fall head over heels while trying to make her dreams come true.",2024-08-31,"['romance', 'tv-movie']","['rebecca-dalton', 'olivier-renaud']",us,[],N/A
61,Slingshot,2024,Movie,109m,https://img.moviesjoy.is/resize/188x288/27/71/27716cfebd988989b1bd699237ebd40c/27716cfebd988989b1bd699237ebd40c.jpg,https://img.moviesjoy.is/resize/1288x788/cc/aa/ccaa12a50dc592448b687da6f5324c45/ccaa12a50dc592448b687da6f5324c45.jpg,"An astronaut struggles to maintain his grip on reality aboard a possibly fatally compromised mission to Saturn's moon, Titan.",2024-08-30,"['science-fiction', 'thriller']","['emily-beecham', 'nikolett-barabas', 'mark-ebulue', 'tomer-kapon', 'laurence-fishburne']",hu,"['astral-pictures', 'bluestone-entertainment', 'filmsquad', 'szechenyi-funds', 'bleecker-street', 'wme-independent']",5.7
62,Hellboy: The Crooked Man,2024,Movie,99m,https://img.moviesjoy.is/resize/188x288/43/37/4337158a7aa88f9dd194ec9ea0d127c3/4337158a7aa88f9dd194ec9ea0d127c3.jpg,https://img.moviesjoy.is/resize/1288x788/54/f3/54f34704310d98a82a5371caafd84338/54f34704310d98a82a5371caafd84338.jpg,"Hellboy and a rookie BPRD agent get stranded in 1950s rural Appalachia. There, they discover a small community haunted by witches, led by a local devil with a troubling connection to Hellboy's past: the Crooked Man.",2024-08-30,"['horror', 'action', 'adventure']","['jefferson-white', 'adeline-rudolph', 'jack-kesy', 'joseph-marcell', 'leah-mcnamara']",de,"['dark-horse-entertainment', 'millennium-media', 'telepool', 'millennium-films']",5.1
63,Butas,2024,Movie,112m,https://img.moviesjoy.is/resize/188x288/5e/4b/5e4b5b03c903a8886c7fde60c0cd177d/5e4b5b03c903a8886c7fde60c0cd177d.jpg,https://img.moviesjoy.is/resize/1288x788/0a/d0/0ad0f1afe08602008535c7f9ec682931/0ad0f1afe08602008535c7f9ec682931.jpg,Witness how the lives of four young people who have various sexual quirks and inhibitions intertwine as they live together in a snug boarding house.,2024-08-30,"['drama', 'thriller']","['angela-morena', 'angelica-hart', 'albie-casino', 'jd-aguas']",ph,['vivamax'],N/A
